commit	val_bpb	memory_gb	status	description
b5e0e48	1.324057	11.4	keep	baseline
2a291d0	0.000000	0.0	crash	depth 12 (OOM on 22GB GPU)
8f0f7d9	1.492919	9.2	discard	depth 10 batch 16 (fewer tokens hurts)
c7a5fc2	1.277651	11.4	keep	higher LRs (matrix 0.06 embed 0.8 unembed 0.006)
260a3cf	1.263933	11.4	keep	even higher LRs (matrix 0.08 embed 1.0 unembed 0.008)
f71dafd	1.263823	11.4	keep	LRs higher still (matrix 0.10 embed 1.2 unembed 0.01)
e142cdc	1.198317	11.4	keep	halve total batch to 2^18 (more steps)
8e14125	1.219317	11.4	discard	total batch 2^17 (too small)
3021278	1.215926	11.4	discard	5% warmup ratio (hurts short training)
ef9bb68	1.199062	11.4	discard	warmdown 0.7 (no improvement)
645e8df	1.203206	11.4	discard	all full attention pattern L (SSSL better)
7ab28fa	1.198771	11.4	discard	weight decay 0.4 (no improvement)
e080cb0	1.213910	13.5	discard	SwiGLU activation (slower per step)
57daf8a	1.172490	8.8	keep	aspect ratio 48 (narrower model more steps)
f73e481	1.163272	6.1	keep	aspect ratio 32 (even narrower)
74663b7	1.167016	6.1	discard	aspect ratio 24 (too narrow)
440a851	1.176756	12.1	discard	device batch 64 (worse)
d9db027	1.171882	6.2	discard	head_dim 64 (worse than 128)
67d62a9	1.189549	10.7	discard	depth 10 aspect 32 (slower per step)
e82c8f4	1.163844	6.1	discard	total batch 2^17 with narrow model (no gain)
2664665	1.168914	6.1	discard	softcap 30 (worse than 15)
ccb5e77	1.193467	6.0	discard	disable value embeddings (VE helps a lot)
8ef7fa3	1.173200	7.2	discard	6x MLP expansion (slower per step)
98fa6ff	1.170087	6.1	discard	adam beta1=0.9 (0.8 is better)
886141e	1.200345	6.9	discard	depth 6 aspect 48 (too shallow)
882b788	1.173267	6.1	discard	matrix LR 0.15 (too high)
cb4eee8	1.171801	8.8	discard	aspect ratio 40 (32 is optimal)
8868aa5	1.156950	3.2	keep	device batch 16 (more grad accum faster per microstep)
0e0372b	1.168988	1.7	discard	device batch 8 (too much grad accum overhead)
6b570ad	1.156492	3.2	keep	final LR fraction 0.1
ac95a57	1.159966	3.2	discard	final LR fraction 0.2 (0.1 better)
9dfa0bf	1.155211	3.2	keep	weight decay 0.0
6b92cf5	1.162234	3.2	discard	scalar LR 1.0 (0.5 better)
6ec01f5	1.154707	3.2	keep	embedding LR 1.5
3b82a3d	1.154497	3.2	keep	embedding LR 2.0
42337a0	1.223788	6.6	discard	depth 12 aspect 24 (too deep too narrow)
8b07448	1.162657	3.2	discard	unembedding LR 0.02 (too high)
6b8c1ec	1.153963	2.9	keep	3x MLP expansion (smaller faster)
236a71e	1.160755	2.7	discard	2x MLP expansion (too small)
d4b5ed0	1.163411	4.6	discard	depth 9 (wider model dim hurts)
2b64936	1.154792	2.9	discard	warmdown 0.3 (0.5 better)
aadac2c	1.160708	2.6	discard	depth 7 (too shallow)
3dd1c7b	1.154717	2.9	discard	cosine LR decay (linear is fine)
9378b8a	1.158715	2.9	discard	total batch 196608 (2^18 better)
d249067	1.160863	3.0	discard	VE every layer (alternating better)
1ce4f24	1.158095	2.9	discard	matrix LR 0.12 (0.10 optimal)
c9b25a2	1.157195	2.9	discard	matrix LR 0.08 (0.10 better)
9103b29	1.160580	2.9	discard	remove softcap (softcap 15 helps)
aac2bac	1.168712	2.7	discard	MQA n_kv_head=1 (MHA better)
a17de82	1.155375	2.9	discard	softcap 10 (15 better)
90211db	1.219368	1.7	discard	model_dim=128 (too small)
27ee1c5	1.156333	2.9	discard	adam beta2=0.99 (0.95 better)
b2e7c3c	1.155056	2.9	discard	window SL pattern (SSSL better)
fb7efd3	1.164175	2.9	discard	head_dim 64 with 3x MLP
4ea4016	1.154198	2.9	discard	VE gate channels 16 (marginal worse)
0f0df0b	1.208159	2.7	discard	remove QK norm (hurts stability)
de87dcf	1.155098	2.9	discard	embedding LR 3.0 (2.0 optimal)
d60350a	1.162371	2.9	discard	x0_lambda init 0.2 (0.1 better)
2be91cf	1.165312	2.9	discard	2% warmup + 60% warmdown (any warmup hurts)
82408e8	1.174929	2.9	discard	GELU (ReLU^2 much better)
69ae0c7	1.156192	3.1	discard	3.5x MLP expansion (3x optimal)
f46bd13	1.156229	2.9	discard	RoPE base 50000 (10000 better)
adbfb1f	1.168607	2.9	discard	Muon ns_steps=3 (quality > speed)
b5fbb96	1.153919	2.9	keep	Muon beta2=0.99
5dc2639	1.159514	2.9	discard	Muon init momentum 0.90 (0.85 better)
060b0b6	1.166424	2.9	discard	scalar LR 0.3 (0.5 better)
0d73158	1.162632	2.9	discard	lm_head init std 0.01 (0.001 better)
91b44f8	1.156135	2.9	discard	wte init std 0.5 (1.0 better)
395f805	1.155177	2.9	discard	all-S window pattern (SSSL better)
a2e799e	1.154240	2.9	discard	final LR frac 0.05 (0.1 better)
024d0c0	1.160507	2.9	discard	unembed LR 0.015 (0.01 better)
5dd2ba1	1.162075	3.0	discard	dropout 0.05 (hurts short training)
74dbb6c	1.169641	2.9	discard	seed 123 (seed 42 better)
d9145e2	1.154597	2.9	discard	warmdown 0.4 (0.5 optimal)
655f2fa	1.157322	2.9	discard	embed LR 1.7 (2.0 optimal)
51d7a97	1.155105	2.9	discard	disable NorMuon (beta2=0.99 helps)
